similar,voice,ident,feeling,similar2,voice2
0,0,4.5,70,-0.5,-0.5
1,1,1.25,51,0.5,0.5
0,0,3.75,31,-0.5,-0.5
1,0,3.5,63,0.5,-0.5
1,0,3,73,0.5,-0.5
1,0,3,90,0.5,-0.5
0,1,2.5,84,-0.5,0.5
0,0,3.25,39,-0.5,-0.5
1,1,2.5,79,0.5,0.5
1,1,4.5,88,0.5,0.5
1,1,3,63,0.5,0.5
1,1,1.5,7,0.5,0.5
0,1,2.25,16,-0.5,0.5
1,0,1.5,28,0.5,-0.5
1,1,3,31,0.5,0.5
1,0,3,86,0.5,-0.5
1,0,4.5,18,0.5,-0.5
1,1,3.5,79,0.5,0.5
1,0,3.75,51,0.5,-0.5
1,0,2.75,51,0.5,-0.5
0,0,2.75,36,-0.5,-0.5
0,1,1.25,29,-0.5,0.5
1,1,2.75,50,0.5,0.5
0,0,2.25,50,-0.5,-0.5
0,1,1.25,20,-0.5,0.5
0,1,4.5,52,-0.5,0.5
1,0,3,70,0.5,-0.5
1,1,5,44,0.5,0.5
1,0,2.25,10,0.5,-0.5
0,0,2,73,-0.5,-0.5
1,0,4.5,60,0.5,-0.5
1,0,3.5,57,0.5,-0.5
0,1,3.25,51,-0.5,0.5
0,1,5,100,-0.5,0.5
1,1,5,50,0.5,0.5
1,0,1.75,33,0.5,-0.5
1,0,1.25,13,0.5,-0.5
1,0,1,50,0.5,-0.5
1,1,4.25,71,0.5,0.5
1,1,5,91,0.5,0.5
1,0,2,50,0.5,-0.5
0,1,3,82,-0.5,0.5
0,0,2.25,50,-0.5,-0.5
1,1,3.5,46,0.5,0.5
1,1,3.25,88,0.5,0.5
0,0,3.25,51,-0.5,-0.5
0,1,1.75,60,-0.5,0.5
1,1,4,77,0.5,0.5
1,0,3,50,0.5,-0.5
0,0,1.75,93,-0.5,-0.5
1,1,5,81,0.5,0.5
0,1,3,47,-0.5,0.5
0,1,1,1,-0.5,0.5
1,1,3,50,0.5,0.5
0,1,3,40,-0.5,0.5
0,0,1.75,51,-0.5,-0.5
1,0,2.25,14,0.5,-0.5
0,0,1,27,-0.5,-0.5
0,1,1,2,-0.5,0.5
1,0,1.5,20,0.5,-0.5
1,1,1,2,0.5,0.5
1,0,4.25,84,0.5,-0.5
0,0,3.5,96,-0.5,-0.5
0,0,4,42,-0.5,-0.5
1,1,4.5,94,0.5,0.5
1,1,3.75,16,0.5,0.5
0,1,2.5,70,-0.5,0.5
0,0,3.25,64,-0.5,-0.5
0,0,4.25,63,-0.5,-0.5
0,0,1,10,-0.5,-0.5
1,1,2.75,92,0.5,0.5
1,0,3,100,0.5,-0.5
0,1,3,65,-0.5,0.5
