"ID","comp_cond","perform_o","like","hate_lose"
1,1,6,4,1
2,1,5,6.2,1
3,1,1.5,4.8,0
4,1,5,4,0
5,1,5.5,3.6,0
6,1,3.5,4.8,1
7,0,2.5,4,1
8,0,6,4,0
9,1,4.5,4.2,1
10,1,6,3.6,0
11,0,4,4.8,1
12,0,6,4.8,1
13,0,5.5,4,0
14,0,4.5,3.2,1
15,1,7,4.4,0
16,1,3,2.6,0
17,0,5.5,4.8,0
18,0,5.5,4.8,1
19,1,3,4.8,1
20,1,7,2.8,0
21,0,4.5,5.2,1
22,0,5,6,0
23,0,3,5.4,0
24,0,6.5,4.6,1
25,1,2,4.8,0
26,1,7,3.4,0
27,1,3,5.6,1
28,1,6.5,3,0
29,1,4,5,1
30,1,1.5,4.4,1
31,0,6,4.6,1
32,0,3.5,4.8,1
33,1,7,3.6,0
34,1,1.5,4,0
39,1,4,4.6,0
40,1,5.5,3.4,1
41,0,5,3.8,0
42,0,5,4.6,0
43,0,5,5.8,0
44,0,5,3.6,0
45,0,5.5,5.6,0
46,0,4,5.6,0
47,1,6,5.2,0
48,1,5.5,4.2,0
49,1,5,4,0
50,1,1,2.2,0
51,0,2.5,4,1
52,0,7,4.6,1
53,0,7,4,1
54,0,1,3.2,0
55,1,2.5,4,0
56,1,5,3.8,0
57,1,6,5.2,1
58,1,3.5,4.4,1
59,0,4,4.7246877156,1
60,0,1.5,3.8,0
61,1,2,4.4,1
62,1,7,3.6,1
63,0,3.5,4.6,1
64,0,3,4,1
65,1,6,4,0
66,1,1,4,0
67,0,5,4.2,0
68,0,4.5,5,1
69,0,3.5,5,0
70,0,2,3.8,1
71,1,3,4,1
72,1,7,2.6,1
73,0,7,4.8,0
74,0,1,4,0
75,1,7,3.6,1
76,1,3,4,1
78,0,4,5.8,0
79,1,5,4.2,0
80,1,7,3,1
81,1,1,5.8,1
82,1,7,2.2,1
83,0,4,3.4,0
84,0,7,4,0
85,1,4,4,0
86,1,6,5,0
87,0,6,3.6,0
88,0,7,4,0
89,0,4.5,4,0
90,0,5,4,1
91,0,5.5,5,0
92,0,6,6.4,1
93,0,3.5,4.8,1
94,0,4,4.2,0
95,0,5.5,5.8,0
96,0,4.5,5.2,0
97,1,2,4.4,0
98,1,6.5,3.8,0
99,1,6,5,1
100,1,3.5,4.6,1
101,1,3,5,0
102,1,7,4,0
103,1,6,3.6,1
104,1,2.5,7,1
105,0,7,4.6,1
106,0,1,3,0
107,1,7,3,1
108,1,4,4.2,0
109,0,3,5,1
110,0,4,4.4,0
111,1,7,3.8,1
112,1,3,4.8,1
113,0,3,4.2,0
114,0,6.5,4.6,1
115,0,7,4.6,1
116,0,3,5.2,1
117,1,6.5,4,1
118,1,4,6.8,1
119,1,2,4.4,0
120,1,6,5.6,0
121,1,1,4.2,0
122,1,5.5,4.2,0
123,0,2,4,1
124,0,1,3.8,1
125,0,6,3.6,0
126,0,5.5,4.8,1
127,1,2,4.8,1
128,1,6.5,2.6,0
129,0,5,5,0
130,0,4.5,3.8,1
131,0,5,4.6,0
132,0,2.5,6,0
133,0,6,3.7191011236,0
134,0,5,4.8,0
135,0,4.5,4.4,1
136,0,4.5,5,0
137,1,5,2.8,0
138,1,6.5,4,0
139,0,6.5,3.8,0
140,0,1,4,0
141,0,5,5,1
142,0,5.5,4.2,0
143,0,5,4,1
144,0,5,4.8,0
145,1,3.5,4.8,0
146,1,6.5,3.4,1
147,1,2.5,4.4,1
148,1,7,3,0
149,1,7,2.2,1
150,1,5,5.6,0
151,1,7,4.2,0
152,1,2.5,4.6,0
153,0,4,4,0
154,0,4,4.4,1
155,0,6.5,4,0
156,0,5,4.2,1
157,1,7,1,1
158,1,1,3.2,0
159,1,7,2.6,1
160,1,2,4,1
161,0,1.5,4,1
162,0,7,4,0
164,1,3,4.4,1
165,1,4,6.4,1
166,1,5,4,1
167,0,7,4.6,0
168,0,2.5,4.4,0
169,1,6,3,0
